year,no,instruction,input,result,isAnswerable,isMultipleChoice,isSingleChoiceSolution,note
2021,1,เวลาเช้าตรู่ที่อากาศเย็นเรามักสังเกตเห็นหยดน้ำ เกาะอยู่ตามใบหญ้า\nเพราะอุณหภูมิของอากาศลดต่ำลงจนทำให้ไอน้ำ กลั่นตัวเป็นน้ำ ได้เราเรียก\n“จุดน้ำค้าง” หากจุดน้ำค้างมีค่าสูงนั่นคือปริมาณน้ำ ในอากาศขณะนั้นมีมาก\n\nข้อความข้างต้นมีคำบุพบทกี่คำ,(1) ๑ คำ\n(2) ๓ คำ\n(3) ๔ คำ\n(4) ๕ คำ\n(5) ๖ ค่า,(2) ๓ คำ,TRUE,TRUE,TRUE,
2021,2,เวลาเช้าตรู่ที่อากาศเย็นเรามักสังเกตเห็นหยดน้ำ เกาะอยู่ตามใบหญ้า\nเพราะอุณหภูมิของอากาศลดต่ำลงจนทำให้ไอน้ำ กลั่นตัวเป็นน้ำ ได้เราเรียก\n“จุดน้ำค้าง” หากจุดน้ำค้างมีค่าสูงนั่นคือปริมาณน้ำ ในอากาศขณะนั้นมีมาก\n\nข้อความข้างต้นมีคำสันธานกี่คำ,(1) ๑ คํา\n(2) ๓ คำ\n(3) ๔ คำ\n(4) ๕ คำ\n(5) ๖ คำ,(2) ๓ คำ,TRUE,TRUE,TRUE,
2021,3,ใช้ข้อความต่อไปนี้ตอบคำถามข้อ ก และ ข้อ ข\nการแสดงของวงดนตรีลูกทุ่งนั้นหากเป็นการเดินสายที่เล่นกลางแจ้งมักเริ่ม\nตั้งแต่เวลาค่ำ เพราะรอให้ผู้ชมเสร็จจากภารกิจประจำวันแล้ว\n\nข้อความข้างต้นมีคำนามกี่คำ,(1) ๔ คำ\n(2) ๕ ค่า\n(3) ๖ คำ\n(4) ๓ คำ\n(5) ๘ คำ,(4) ๓ คำ,TRUE,TRUE,TRUE,
2021,4,ใช้ข้อความต่อไปนี้ตอบคำถามข้อ ก และ ข้อ ข\nการแสดงของวงดนตรีลูกทุ่งนั้นหากเป็นการเดินสายที่เล่นกลางแจ้งมักเริ่ม\nตั้งแต่เวลาค่ำ เพราะรอให้ผู้ชมเสร็จจากภารกิจประจำวันแล้ว\n\nข้อความข้างต้นมีคำกริยาหลักกี่คำ,(1) ๓ คำ\n(2) ๔ คำ\n(3) ๕ คำ\n(4) ๖ คำ\n(5) ๗ คำ,(3) ๕ คำ,TRUE,TRUE,TRUE,
2021,5,ใช้ข้อความต่อไปนี้ตอบคำถามข้อ ก และข้อ ข\nกรรมการ : ดิฉันขอเสนอประเด็นเพิ่มเติมเพื่อ.............เพียงเท่านี้ ขอบคุณ ค่ะ\nประธาน : เอาละครับนับตั้งแต่การประชุมครั้งที่แล้วมีผู้เสนอประเด็นใน\nเรื่องนี้ไว้หลายประเด็นรวมกับของวันนี้อีก๒ประเด็นน่าจะครบถ้วนแล้วเราจะ\nนำมาปรึกษากันในที่ประชุมนี้ทีละประเด็นครับ\n\nคำใดเหมาะจะเติมลงในช่องว่างข้างต้น,(1) ลงมติ\n(2) รับรอง\n(3) รายงาน\n(4) พิจารณา\n(5) ให้รับทราบ,(4) พิจารณา,TRUE,TRUE,TRUE,
2021,6,ใช้ข้อความต่อไปนี้ตอบคำถามข้อ ก และข้อ ข\nกรรมการ : ดิฉันขอเสนอประเด็นเพิ่มเติมเพื่อ.............เพียงเท่านี้ ขอบคุณค่ะ\nประธาน : เอาละครับนับตั้งแต่การประชุมครั้งที่แล้วมีผู้เสนอประเด็นใน\nเรื่องนี้ไว้หลายประเด็นรวมกับของวันนี้อีก๒ประเด็นน่าจะครบถ้วนแล้วเราจะ\nนำมาปรึกษากันในที่ประชุมนี้ทีละประเด็นครับ\n\nข้อความข้างต้นควรจะอยู่ในระเบียบวาระใดของการประชุม,(1) ระเบียบวาระที่๑ : เรื่องที่ประธานแจ้งให้ที่ประชุมทราบ\n(2) ระเบียบวาระที่๒ : เรื่องรับรองรายงานการประชุม\n(3) ระเบียบวาระที่๓ : เรื่องสืบเนื่อง\n(4) ระเบียบวาระที่4 : เรื่องเสนอเพื่อพิจารณา\n(5) ระเบียบวาระที่๕ : เรื่องอื่นๆ,(3) ระเบียบวาระที่๓ : เรื่องสืบเนื่อง,TRUE,TRUE,TRUE,
2021,7,ใช้ข้อความต่อไปนี้ตอบคำถามข้อ ก และ ข้อ ข\n๑) เอาทุนจากไหนมาแต่ก็ดีนะดีกว่าอยู่ว่างๆ\n๒) แล้วจะเริ่มต้นยังไงล่ะฉันเองไม่เคยขายของเลย\n๓) ถ้าขายดีฉันจะทำต่อเองเธอไปหาอย่างอื่นทำ ก็แล้วกัน\n๔) ใกล้บ้านเรามีร้านกาแฟเยอะมากฉันว่าขายอย่างอื่นไม่ดีหรือ\n๕) จะเปิดร้านที่ไหนดีล่ะไหนๆก็มีอุปกรณ์แล้วคงจะพอมีกำไรอยู่บ้าง\n\nคำพูดของป้อมตามข้อใดข้างต้นสอดคล้องกับคำพูดของนุชในข้อความต่อไปนี้\nนุช : ปิดเทอมนี้เรามาหุ้นกันขายกาแฟโบราณไหม จะได้มีเงินเก็บเป็น\nค่าเทอมช่วยแบ่งเบาภาระทางบ้านเห็นเขาบอกว่าได้กำไร๑๐๐ %เลยนะ\nป้อม : .........................................\nนุช : ซื้อแฟรนไชส์ไงไม่ลองก็ไม่รู้,(1) ข้อ ๑\n(2) ข้อ ๒\n(3) ข้อ ๓\n(4) ข้อ ๔\n(5) ข้อ ๕,(2) ข้อ ๒,TRUE,TRUE,TRUE,
2021,8,ใช้ข้อความต่อไปนี้ตอบคำถามข้อ ก และ ข้อ ข\n๑) เอาทุนจากไหนมาแต่ก็ดีนะดีกว่าอยู่ว่างๆ\n๒) แล้วจะเริ่มต้นยังไงล่ะฉันเองไม่เคยขายของเลย\n๓) ถ้าขายดีฉันจะทำต่อเองเธอไปหาอย่างอื่นทำ ก็แล้วกัน\n๔) ใกล้บ้านเรามีร้านกาแฟเยอะมากฉันว่าขายอย่างอื่นไม่ดีหรือ\n๕) จะเปิดร้านที่ไหนดีล่ะไหนๆก็มีอุปกรณ์แล้วคงจะพอมีกำไรอยู่บ้าง\n\nคำพูดของป้อมข้างต้นข้อใดที่อาจทำลายมิตรภาพได้,(1) ข้อ ๑\n(2) ข้อ ๒\n(3) ข้อ ๓\n(4) ข้อ ๔\n(5) ข้อ ๕,(3) ข้อ ๓,TRUE,TRUE,TRUE,
2021,9,คำใดจากกลุ่ม ก และ กลุ่ม ข เหมาะจะเติมลงในช่องว่าง (ก) และ (ข)\nตามลำดับของคำ ประพันธ์ต่อไปนี้\nสุริยงแย้มเยี่ยมฟ้า           (ก)\nไม้ดอกระเริงแรง              กลิ่นเร้า\nภู่ผึ้งต่างเข้าแฝง               ชม (ข)\nอีกหมู่สกุณเคล้า              จวบสินแสงฉาย\n\nคำตอบที่ถูกต้องของ (ก) คือข้อใด,(1) รุ่งราง\n(2) โชติช่วง\n(3) เผยแสง\n(4) ตระการ\n(5) เรืองรอง,(3) เผยแสง,TRUE,TRUE,TRUE,
2021,10,คำใดจากกลุ่ม ก และ กลุ่ม ข เหมาะจะเติมลงในช่องว่าง (ก) และ (ข)\nตามลำดับของคำ ประพันธ์ต่อไปนี้\nสุริยงแย้มเยี่ยมฟ้า           (ก)\nไม้ดอกระเริงแรง              กลิ่นเร้า\nภู่ผึ้งต่างเข้าแฝง               ชม (ข)\nอีกหมู่สกุณเคล้า              จวบสินแสงฉาย\n\nคำตอบที่ถูกต้องของ (ข) คือข้อใด,(1) กลีบ\n(2) เชย\n(3) กา\n(4) ดวง\n(5) มาลย์,(1) กลีบ,TRUE,TRUE,TRUE,
